clust_id,ScanLabel,ROILabel,SegmentLabel,channel,type,ALDOB,x_axis,X_position,Y_position
3,MIPCC-DSP-A-20220222C-01,2,Full ROI,Liver Zone,Zone 3,106.62,2.484162406,26912,24305
3,MIPCC-DSP-A-20220222C-01,3,Full ROI,Liver Zone,Zone 3,193.52,2.508470981,26867,24276
2,MIPCC-DSP-A-20220222C-01,4,Full ROI,Liver Zone,Zone 2,322.51,1.406032357,26572,23905
2,MIPCC-DSP-A-20220222C-01,5,Full ROI,Liver Zone,Zone 2,662.4,1.414870711,26008,23308
1,MIPCC-DSP-A-20220222C-01,6,Full ROI,Liver Zone,Zone 1,678.28,0.524803801,25778,22864
1,MIPCC-DSP-A-20220222C-01,7,Full ROI,Liver Zone,Zone 1,469.61,0.576956571,25456,22090
3,MIPCC-DSP-A-20220222C-01,16,Full ROI,Liver Zone,Zone 3,256.7,2.596354519,27853,44984
3,MIPCC-DSP-A-20220222C-01,17,Full ROI,Liver Zone,Zone 3,378.64,2.477017962,27733,45350
2,MIPCC-DSP-A-20220222C-01,18,Full ROI,Liver Zone,Zone 2,386.75,1.447067,27689,45746
3,MIPCC-DSP-A-20220222C-01,21,Full ROI,Liver Zone,Zone 3,111.45,2.476723031,16357,48999
3,MIPCC-DSP-A-20220222C-01,22,Full ROI,Liver Zone,Zone 3,168.32,2.571634262,16216,48941
2,MIPCC-DSP-A-20220222C-01,23,Full ROI,Liver Zone,Zone 2,177.05,1.534118953,15924,48753
2,MIPCC-DSP-A-20220222C-01,24,Full ROI,Liver Zone,Zone 2,262.45,1.56868204,15654,48634
1,MIPCC-DSP-A-20220222C-01,25,Full ROI,Liver Zone,Zone 1,319.11,0.494793125,15394,48608
1,MIPCC-DSP-A-20220222C-01,26,Full ROI,Liver Zone,Zone 1,377.16,0.540966815,15021,48429
3,MIPCC-DSP-A-20220222C-01,28,Full ROI,Liver Zone,Zone 3,105.37,2.543766124,22433,54552
3,MIPCC-DSP-A-20220222C-01,29,Full ROI,Liver Zone,Zone 3,226.26,2.482088633,22806,54453
2,MIPCC-DSP-A-20220222C-01,30,Full ROI,Liver Zone,Zone 2,321.22,1.577881816,23106,54386
2,MIPCC-DSP-A-20220222C-01,31,Full ROI,Liver Zone,Zone 2,406.18,1.517987093,23382,54236
1,MIPCC-DSP-A-20220222C-01,32,Full ROI,Liver Zone,Zone 1,510.97,0.564793695,23666,54171
1,MIPCC-DSP-A-20220222C-01,33,Full ROI,Liver Zone,Zone 1,615.79,0.46514825,24119,53993
2,MIPCC-DSP-A-20220222C-01,34,Full ROI,Liver Zone,Zone 2,416.2,1.587925264,27432,46002
1,MIPCC-DSP-A-20220222C-01,35,Full ROI,Liver Zone,Zone 1,349.58,0.579631475,27068,46387
1,MIPCC-DSP-A-20220222C-01,36,Full ROI,Liver Zone,Zone 1,266.26,0.461939334,26783,46709
3,MIPCC-DSP-A-20220222C-01,37,Full ROI,Liver Zone,Zone 3,219.21,2.568771068,27522,44296
2,MIPCC-DSP-A-20220222C-01,38,Full ROI,Liver Zone,Zone 2,423.12,1.507780957,27233,44126
2,MIPCC-DSP-A-20220222C-01,39,Full ROI,Liver Zone,Zone 2,703.56,1.558288068,26877,43945
1,MIPCC-DSP-A-20220222C-01,40,Full ROI,Liver Zone,Zone 1,891.11,0.530637447,26306,44070
3,MIPCC-DSP-A-20220222C-01,42,Full ROI,Liver Zone,Zone 3,113.48,2.591948404,16525,26339
2,MIPCC-DSP-A-20220222C-01,43,Full ROI,Liver Zone,Zone 2,157.08,1.488458025,16761,25810
2,MIPCC-DSP-A-20220222C-01,44,Full ROI,Liver Zone,Zone 2,244.36,1.400431365,16770,25489
1,MIPCC-DSP-A-20220222C-01,45,Full ROI,Liver Zone,Zone 1,314.38,0.58785043,16815,25063
1,MIPCC-DSP-A-20220222C-01,46,Full ROI,Liver Zone,Zone 1,283.64,0.479791745,16811,24672
